Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2012.76818848,2021-05-30,2021-08-15
2,Bayern,GER,1,1993.56750488,2021-05-23,2021-08-13
3,Liverpool,ENG,1,1940.19763184,2021-05-27,2021-08-14
4,Real Madrid,ESP,1,1938.07788086,2021-05-27,2021-08-14
5,Man United,ENG,1,1925.87194824,2021-05-27,2021-08-14
6,Chelsea,ENG,1,1923.20202637,2021-05-30,2021-08-14
7,Barcelona,ESP,1,1913.69177246,2021-05-30,2021-08-15
8,Inter,ITA,1,1898.13305664,2021-05-24,2021-08-15
9,Atletico,ESP,1,1895.42712402,2021-05-27,2021-08-15
10,Paris SG,FRA,1,1875.87866211,2021-05-24,2021-08-03
11,Arsenal,ENG,1,1866.67456055,2021-05-27,2021-08-13
12,Juventus,ITA,1,1849.1340332,2021-05-24,2021-08-14
13,Sevilla,ESP,1,1847.52929688,2021-05-27,2021-08-14
14,Dortmund,GER,1,1843.85534668,2021-05-23,2021-08-14
15,Atalanta,ITA,1,1836.63232422,2021-05-24,2021-08-15
16,Tottenham,ENG,1,1831.75012207,2021-05-27,2021-08-15
17,Villarreal,ESP,1,1823.54174805,2021-05-27,2021-08-12
18,RB Leipzig,GER,1,1817.06140137,2021-05-23,2021-08-03
19,West Ham,ENG,1,1810.99633789,2021-05-27,2021-07-21
20,Ajax,NED,1,1808.51733398,2021-05-24,2021-07-21
21,Napoli,ITA,1,1803.56152344,2021-05-24,2021-08-04
22,Milan,ITA,1,1802.77172852,2021-05-27,2021-08-04
23,Leicester,ENG,1,1801.89501953,2021-05-27,2021-07-22
24,Porto,POR,1,1801.68701172,2021-05-24,2021-07-22
25,Leeds,ENG,1,1783.74121094,2021-05-27,2021-08-14
26,Everton,ENG,1,1771.19372559,2021-05-27,2021-08-14
27,Wolfsburg,GER,1,1769.32421875,2021-05-23,2021-08-14
28,Sociedad,ESP,1,1761.44580078,2021-05-27,2021-08-15
29,Frankfurt,GER,1,1760.56542969,2021-05-27,2021-08-14
30,Lille,FRA,1,1753.30493164,2021-05-24,2021-07-23
31,Gladbach,GER,1,1748.46044922,2021-05-24,2021-07-20
32,Salzburg,AUT,1,1747.72485352,2021-05-27,2021-07-20
33,Aston Villa,ENG,1,1747.11230469,2021-05-27,2021-07-28
34,Betis,ESP,1,1740.60021973,2021-05-27,2021-07-29
35,Lyon,FRA,1,1740.17236328,2021-05-27,2021-07-29
36,Benfica,POR,1,1739.48974609,2021-05-24,2021-07-22
37,Roma,ITA,1,1738.81799316,2021-05-27,2021-07-29
38,Wolves,ENG,1,1738.54443359,2021-05-27,2021-07-29
39,Leverkusen,GER,1,1734.74389648,2021-05-24,2021-08-14
40,Lazio,ITA,1,1732.31726074,2021-05-24,2021-08-14
41,Newcastle,ENG,1,1724.89587402,2021-05-27,2021-07-29
42,Celta,ESP,1,1721.60791016,2021-05-27,2021-07-28
43,Brighton,ENG,1,1720.88342285,2021-05-27,2021-07-28
44,Slavia Praha,CZE,1,1719.76745605,2021-05-30,2021-07-20
45,Sporting,POR,1,1716.20715332,2021-05-24,2021-07-22
46,Dinamo Zagreb,CRO,1,1711.9342041,2021-05-24,2021-07-07
47,Bilbao,ESP,1,1709.68444824,2021-05-27,2021-07-16
48,Burnley,ENG,1,1709.37329102,2021-05-27,2021-07-16
49,Young Boys,SUI,1,1704.3248291,2021-05-24,2021-07-16
50,Monaco,FRA,1,1703.90185547,2021-05-24,2021-07-16
51,Valencia,ESP,1,1701.11633301,2021-05-27,2021-07-16
52,Southampton,ENG,1,1700.75109863,2021-05-27,2021-07-16
53,Olympiakos,GRE,1,1699.7479248,2021-05-20,2021-07-16
54,Shakhtar,UKR,1,1699.23510742,2021-05-20,2021-07-16
55,Sassuolo,ITA,1,1697.33581543,2021-05-24,2021-07-16
56,Rangers,SCO,1,1696.41027832,2021-05-17,2021-07-16
57,Crystal Palace,ENG,1,1693.30944824,2021-05-27,2021-07-16
58,Hoffenheim,GER,1,1691.55407715,2021-05-24,2021-07-16
59,Osasuna,ESP,1,1685.16015625,2021-05-27,2021-07-29
60,Union Berlin,GER,1,1685.00036621,2021-05-27,2021-07-29
61,Crvena Zvezda,SRB,1,1680.17663574,2021-05-20,2021-07-16
62,Freiburg,GER,1,1676.97033691,2021-05-23,2021-07-16
63,Granada,ESP,1,1674.59533691,2021-05-27,2021-07-16
64,Watford,ENG,2,1673.33557129,2021-05-27,2021-07-01
65,Brentford,ENG,2,1671.97888184,2021-05-30,2021-07-01
66,Getafe,ESP,1,1669.05395508,2021-05-30,2021-07-21
67,Dynamo Kyiv,UKR,1,1669.05090332,2021-05-30,2021-07-21
68,Zenit,RUS,1,1668.48168945,2021-05-30,2021-07-21
69,Levante,ESP,1,1664.71276855,2021-05-30,2021-07-22
70,Mainz,GER,1,1661.15625,2021-05-24,2021-07-21
71,Norwich,ENG,2,1655.1998291,2021-05-31,2021-07-01
72,Alkmaar,NED,1,1654.38537598,2021-05-31,2021-07-21
73,PSV,NED,1,1653.50769043,2021-05-31,2021-07-21
74,Espanyol,ESP,2,1648.59558105,2021-05-31,2021-07-01
75,Stuttgart,GER,1,1644.19787598,2021-05-23,2021-08-14
76,Sampdoria,ITA,1,1643.21496582,2021-05-23,2021-08-10
77,Hertha,GER,1,1637.67993164,2021-05-24,2021-08-08
78,Leganes,ESP,2,1635.95922852,2021-05-31,2021-06-03
79,Alaves,ESP,1,1633.82214355,2021-05-31,2021-06-03
80,Marseille,FRA,1,1631.07080078,2021-05-24,2021-06-03
81,Brugge,BEL,1,1631.06323242,2021-05-24,2021-06-03
82,Mallorca,ESP,2,1629.65905762,2021-05-31,2021-06-03
83,Fiorentina,ITA,1,1628.54321289,2021-05-31,2021-06-03
